2023-04-13 07:19:44,177 INFO    StreamThr :89024 [internal.py:wandb_internal():86] W&B internal server running at pid: 89024, started at: 2023-04-13 07:19:44.176815
2023-04-13 07:19:44,178 DEBUG   HandlerThread:89024 [handler.py:handle_request():144] handle_request: status
2023-04-13 07:19:44,179 INFO    WriterThread:89024 [datastore.py:open_for_write():85] open: /Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/wandb/run-20230413_071944-01mr9f4j/run-01mr9f4j.wandb
2023-04-13 07:19:44,180 DEBUG   SenderThread:89024 [sender.py:send():375] send: header
2023-04-13 07:19:44,198 DEBUG   SenderThread:89024 [sender.py:send():375] send: run
2023-04-13 07:19:44,665 INFO    SenderThread:89024 [dir_watcher.py:__init__():219] watching files in: /Users/aleksandrtrisin/Documents/6 семестр/метопты/Benchmark_Opt/src/lib/wandb/run-20230413_071944-01mr9f4j/files
2023-04-13 07:19:44,666 INFO    SenderThread:89024 [sender.py:_start_run_threads():1124] run started: 01mr9f4j with start time 1681359584.176546
2023-04-13 07:19:44,666 DEBUG   SenderThread:89024 [sender.py:send_request():402] send_request: summary_record
2023-04-13 07:19:44,666 INFO    SenderThread:89024 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-13 07:19:44,671 DEBUG   HandlerThread:89024 [handler.py:handle_request():144] handle_request: check_version
2023-04-13 07:19:44,671 DEBUG   SenderThread:89024 [sender.py:send_request():402] send_request: check_version
2023-04-13 07:19:44,803 DEBUG   HandlerThread:89024 [handler.py:handle_request():144] handle_request: run_start
2023-04-13 07:19:44,810 DEBUG   HandlerThread:89024 [system_info.py:__init__():31] System info init
2023-04-13 07:19:44,810 DEBUG   HandlerThread:89024 [system_info.py:__init__():46] System info init done
2023-04-13 07:19:44,810 INFO    HandlerThread:89024 [system_monitor.py:start():181] Starting system monitor
2023-04-13 07:19:44,810 INFO    SystemMonitor:89024 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-13 07:19:44,811 INFO    HandlerThread:89024 [system_monitor.py:probe():201] Collecting system info
2023-04-13 07:19:44,811 INFO    SystemMonitor:89024 [interfaces.py:start():190] Started cpu monitoring
2023-04-13 07:19:44,811 INFO    SystemMonitor:89024 [interfaces.py:start():190] Started disk monitoring
2023-04-13 07:19:44,811 INFO    SystemMonitor:89024 [interfaces.py:start():190] Started gpuapple monitoring
2023-04-13 07:19:44,813 INFO    SystemMonitor:89024 [interfaces.py:start():190] Started memory monitoring
2023-04-13 07:19:44,814 INFO    SystemMonitor:89024 [interfaces.py:start():190] Started network monitoring
2023-04-13 07:19:44,814 DEBUG   HandlerThread:89024 [system_info.py:probe():195] Probing system
2023-04-13 07:19:44,819 DEBUG   HandlerThread:89024 [system_info.py:_probe_git():180] Probing git
2023-04-13 07:19:44,841 DEBUG   HandlerThread:89024 [system_info.py:_probe_git():188] Probing git done
2023-04-13 07:19:44,841 DEBUG   HandlerThread:89024 [system_info.py:probe():240] Probing system done
